category,sub_category,packaging_material,strength,biodegradability_score,co2_emission_score,recyclability_percent,weight_capacity_kg
Toys & Games,Card Games,Bio-PP,medium,6,72,48,63.21
Toys & Games,Card Games,Mushroom (Mycelium),medium,98,5,2,64.78
Toys & Games,Card Games,PP,medium,9,80,51,70.57
Toys & Games,Card Games,Bamboo Fiber (Molded),high,96,7,3,5.02
Toys & Games,Card Games,Paperboard,medium,77,43,83,72.12
Toys & Games,Card Games,EVA Foam,medium,1,86,10,45.55
Toys & Games,Card Games,Natural Rubber,medium,100,25,3,62.03
Toys & Games,Card Games,Recycled PET (rPET),medium,9,49,87,53.55
Toys & Games,Card Games,ABS Plastic,high,0,96,16,7.78
Toys & Games,Card Games,Bio-PE(Green Plastic),high,0,86,90,22.79
Toys & Games,Card Games,PET,medium,18,84,73,71.38
Toys & Games,Yo-yos,Bio-PP,medium,6,77,50,52.41
Toys & Games,Yo-yos,Mushroom (Mycelium),medium,99,5,2,6.34
Toys & Games,Yo-yos,PP,medium,8,82,52,58.74
Toys & Games,Yo-yos,Bamboo Fiber (Molded),high,100,9,0,58.37
Toys & Games,Yo-yos,Paperboard,medium,82,47,86,28.28
Toys & Games,Yo-yos,EVA Foam,medium,0,87,10,63.66
Toys & Games,Yo-yos,Natural Rubber,medium,97,28,2,50.34
Toys & Games,Yo-yos,Recycled PET (rPET),medium,11,47,87,70.01
Toys & Games,Yo-yos,ABS Plastic,high,1,95,16,23.66
Toys & Games,Yo-yos,Bio-PE(Green Plastic),high,3,86,94,46.4
Toys & Games,Yo-yos,PET,medium,12,86,72,5.85
Toys & Games,Plush Toys,Bio-PP,medium,8,77,48,50.18
Toys & Games,Plush Toys,Mushroom (Mycelium),medium,97,4,0,35.05
Toys & Games,Plush Toys,PP,medium,7,77,47,73.42
Toys & Games,Plush Toys,Bamboo Fiber (Molded),high,100,12,0,38.2
Toys & Games,Plush Toys,Paperboard,medium,78,47,88,9.52
Toys & Games,Plush Toys,EVA Foam,medium,0,86,10,67.53
Toys & Games,Plush Toys,Natural Rubber,medium,100,24,1,50.43
Toys & Games,Plush Toys,Recycled PET (rPET),medium,12,49,93,31.39
Toys & Games,Plush Toys,ABS Plastic,high,3,96,16,73.5
Toys & Games,Plush Toys,Bio-PE(Green Plastic),high,0,86,93,74.95
Toys & Games,Plush Toys,PET,medium,18,85,78,2.91
Toys & Games,Marbles,Bio-PP,medium,8,78,48,33.56
Toys & Games,Marbles,Mushroom (Mycelium),medium,98,2,0,68.98
Toys & Games,Marbles,PP,medium,11,83,53,4.96
Toys & Games,Marbles,Bamboo Fiber (Molded),high,98,7,0,35.29
Toys & Games,Marbles,Paperboard,medium,81,43,85,60.08
Toys & Games,Marbles,EVA Foam,medium,3,87,13,4.6
Toys & Games,Marbles,Natural Rubber,medium,98,25,1,25.44
Toys & Games,Marbles,Recycled PET (rPET),medium,12,49,87,3.05
Toys & Games,Marbles,ABS Plastic,high,1,95,18,71.09
Toys & Games,Marbles,Bio-PE(Green Plastic),high,0,87,94,45.08
Toys & Games,Marbles,PET,medium,15,84,72,48.46
Automotive Care,Engine Oil,Recycled Polypropylene (rPP),medium,8,48,88,47.17
Automotive Care,Engine Oil,Recycled Aluminum,high,0,17,99,20.03
Automotive Care,Engine Oil,Recycled HDPE (rHDPE),high,8,43,94,6.7
Automotive Care,Engine Oil,Recycled Steel,high,0,20,94,47.57
Automotive Care,Engine Oil,HDPE,high,7,78,85,20.91
Automotive Care,Engine Oil,Aluminum,high,7,57,93,68.91
Automotive Care,Engine Oil,Steel / Tinplate,high,6,42,91,59.74
Automotive Care,Engine Oil,VCI Paper (Anti-Corrosion),medium,83,55,77,49.56
Automotive Care,Engine Oil,Silicone (Food Grade),high,2,67,1,22.51
Automotive Care,Car Wax,Recycled Polypropylene (rPP),medium,5,43,88,26.48
Automotive Care,Car Wax,Recycled Aluminum,high,0,18,95,9.51
Automotive Care,Car Wax,Recycled HDPE (rHDPE),high,8,43,92,58.14
Automotive Care,Car Wax,Recycled Steel,high,3,18,98,37.93
Automotive Care,Car Wax,HDPE,high,8,80,84,10.38
Automotive Care,Car Wax,Aluminum,high,3,60,92,7.81
Automotive Care,Car Wax,Steel / Tinplate,high,6,43,89,20.19
Automotive Care,Car Wax,VCI Paper (Anti-Corrosion),medium,83,55,82,55.13
Automotive Care,Car Wax,Silicone (Food Grade),high,0,62,0,5.76
Automotive Care,Coolant,Recycled Polypropylene (rPP),medium,7,44,85,41.5
Automotive Care,Coolant,Recycled Aluminum,high,0,13,97,65.58
Automotive Care,Coolant,Recycled HDPE (rHDPE),high,7,47,94,1.68
Automotive Care,Coolant,Recycled Steel,high,0,20,94,14.95
Automotive Care,Coolant,HDPE,high,11,78,83,72.66
Automotive Care,Coolant,Aluminum,high,2,61,89,41.42
Automotive Care,Coolant,Steel / Tinplate,high,3,43,95,7.19
Automotive Care,Coolant,VCI Paper (Anti-Corrosion),medium,87,57,83,68.01
Automotive Care,Coolant,Silicone (Food Grade),high,3,67,0,54.12
Automotive Care,Brake Fluid,Recycled Polypropylene (rPP),medium,4,47,85,26.11
Automotive Care,Brake Fluid,Recycled Aluminum,high,0,15,100,71.16
Automotive Care,Brake Fluid,Recycled HDPE (rHDPE),high,3,44,92,52.7
Automotive Care,Brake Fluid,Recycled Steel,high,1,20,94,5.38
Automotive Care,Brake Fluid,HDPE,high,9,77,85,54.5
Automotive Care,Brake Fluid,Aluminum,high,3,57,92,59.75
Automotive Care,Brake Fluid,Steel / Tinplate,high,2,47,95,69.36
Automotive Care,Brake Fluid,VCI Paper (Anti-Corrosion),medium,86,52,82,56.25
Automotive Care,Brake Fluid,Silicone (Food Grade),high,0,64,0,27.05
Automotive Care,Polish,Recycled Polypropylene (rPP),medium,4,48,87,8.52
Automotive Care,Polish,Recycled Aluminum,high,0,15,97,31.89
Automotive Care,Polish,Recycled HDPE (rHDPE),high,2,42,92,5.03
Automotive Care,Polish,Recycled Steel,high,3,22,98,16.41
Automotive Care,Polish,HDPE,high,10,81,86,66.86
Automotive Care,Polish,Aluminum,high,8,55,93,16.71
Automotive Care,Polish,Steel / Tinplate,high,2,46,94,45.62
Automotive Care,Polish,VCI Paper (Anti-Corrosion),medium,88,53,79,2.79
Automotive Care,Polish,Silicone (Food Grade),high,0,68,0,57.88
Automotive Care,Glass Cleaner,Recycled Polypropylene (rPP),medium,2,46,88,26.23
Automotive Care,Glass Cleaner,Recycled Aluminum,high,1,18,95,63.43
Automotive Care,Glass Cleaner,Recycled HDPE (rHDPE),high,8,44,95,64.12
Automotive Care,Glass Cleaner,Recycled Steel,high,2,21,98,54.56
Automotive Care,Glass Cleaner,HDPE,high,13,77,84,55.32
Automotive Care,Glass Cleaner,Aluminum,high,5,57,91,59.46
Automotive Care,Glass Cleaner,Steel / Tinplate,high,8,46,93,74.89
Automotive Care,Glass Cleaner,VCI Paper (Anti-Corrosion),medium,85,55,79,6.09
Automotive Care,Glass Cleaner,Silicone (Food Grade),high,1,66,0,17.52
Automotive Care,Tire Shine,Recycled Polypropylene (rPP),medium,4,47,86,16.61
Automotive Care,Tire Shine,Recycled Aluminum,high,0,18,97,50.23
Automotive Care,Tire Shine,Recycled HDPE (rHDPE),high,6,44,95,53.62
Automotive Care,Tire Shine,Recycled Steel,high,0,18,97,60.39
Automotive Care,Tire Shine,HDPE,high,11,81,85,38.97
Automotive Care,Tire Shine,Aluminum,high,2,55,87,41.98
Automotive Care,Tire Shine,Steel / Tinplate,high,4,47,90,55.8
Automotive Care,Tire Shine,VCI Paper (Anti-Corrosion),medium,84,52,77,39.19
Automotive Care,Tire Shine,Silicone (Food Grade),high,0,62,0,19.48
Automotive Care,Upholstery Cleaner,Recycled Polypropylene (rPP),medium,2,47,88,27.53
Automotive Care,Upholstery Cleaner,Recycled Aluminum,high,3,17,99,21.31
Automotive Care,Upholstery Cleaner,Recycled HDPE (rHDPE),high,3,46,89,24.33
Automotive Care,Upholstery Cleaner,Recycled Steel,high,0,18,98,50.77
Automotive Care,Upholstery Cleaner,HDPE,high,10,80,87,52.31
Automotive Care,Upholstery Cleaner,Aluminum,high,6,60,91,25.65
Automotive Care,Upholstery Cleaner,Steel / Tinplate,high,3,48,95,0.54
Automotive Care,Upholstery Cleaner,VCI Paper (Anti-Corrosion),medium,87,55,77,5.93
Automotive Care,Upholstery Cleaner,Silicone (Food Grade),high,2,65,1,27.85
Automotive Care,Antifreeze,Recycled Polypropylene (rPP),medium,4,42,84,70.65
Automotive Care,Antifreeze,Recycled Aluminum,high,3,17,98,37.69
Automotive Care,Antifreeze,Recycled HDPE (rHDPE),high,7,47,89,35.36
Automotive Care,Antifreeze,Recycled Steel,high,0,21,93,18.82
Automotive Care,Antifreeze,HDPE,high,7,82,84,28.86
Automotive Care,Antifreeze,Aluminum,high,8,55,92,29.34
Automotive Care,Antifreeze,Steel / Tinplate,high,8,47,92,18.97
Automotive Care,Antifreeze,VCI Paper (Anti-Corrosion),medium,86,54,77,33.53
Automotive Care,Antifreeze,Silicone (Food Grade),high,1,62,3,27.52
Automotive Care,Degreaser,Recycled Polypropylene (rPP),medium,4,42,82,35.66
Automotive Care,Degreaser,Recycled Aluminum,high,0,14,98,40.31
Automotive Care,Degreaser,Recycled HDPE (rHDPE),high,5,44,95,65.23
Automotive Care,Degreaser,Recycled Steel,high,0,17,96,4.38
Automotive Care,Degreaser,HDPE,high,7,82,83,54.66
Automotive Care,Degreaser,Aluminum,high,2,59,93,37.68
Automotive Care,Degreaser,Steel / Tinplate,high,4,47,93,48.92
Automotive Care,Degreaser,VCI Paper (Anti-Corrosion),medium,84,53,77,61.4
Automotive Care,Degreaser,Silicone (Food Grade),high,0,63,0,5.43
Automotive Parts,Brake Pads,Stainless Steel (304),high,0,88,96,52.49
Automotive Parts,Brake Pads,Nylon (PA),high,0,85,30,41.24
Automotive Parts,Brake Pads,Reinforced Plywood Box,high,91,33,17,47.99
Automotive Parts,Brake Pads,Plywood,high,67,53,3,19.26
Automotive Parts,Brake Pads,Paperboard,medium,78,45,83,56.75
Automotive Parts,Brake Pads,Hardwood,high,99,24,3,52.34
Automotive Parts,Brake Pads,Corrugated Cardboard,high,88,39,93,19.8
Automotive Parts,Brake Pads,Recycled Steel,high,0,18,97,51.46
Automotive Parts,Brake Pads,Steel / Tinplate,high,3,43,95,14.93
Automotive Parts,Brake Pads,ABS Plastic,high,0,94,12,13.46
Automotive Parts,Brake Pads,VCI Paper (Anti-Corrosion),medium,85,53,79,18.91
Automotive Parts,Spark Plugs,Stainless Steel (304),high,2,92,96,54.73
Automotive Parts,Spark Plugs,Nylon (PA),high,0,83,27,60.65
Automotive Parts,Spark Plugs,Reinforced Plywood Box,high,91,35,21,67.02
Automotive Parts,Spark Plugs,Plywood,high,70,53,0,55.86
Automotive Parts,Spark Plugs,Paperboard,medium,78,42,87,21.01
Automotive Parts,Spark Plugs,Hardwood,high,100,25,1,3.22
Automotive Parts,Spark Plugs,Corrugated Cardboard,high,85,43,93,64.42
Automotive Parts,Spark Plugs,Recycled Steel,high,1,22,93,3.35
Automotive Parts,Spark Plugs,Steel / Tinplate,high,7,47,89,17.57
Automotive Parts,Spark Plugs,ABS Plastic,high,0,93,14,38.82
Automotive Parts,Spark Plugs,VCI Paper (Anti-Corrosion),medium,82,53,82,28.01
Automotive Parts,Filters,Stainless Steel (304),high,0,91,97,15.66
Automotive Parts,Filters,Nylon (PA),high,0,84,28,16.41
Automotive Parts,Filters,Reinforced Plywood Box,high,93,33,22,21.36
Automotive Parts,Filters,Plywood,high,68,48,0,26.98
Automotive Parts,Filters,Paperboard,medium,81,43,83,22.17
Automotive Parts,Filters,Hardwood,high,100,28,3,28.48
Automotive Parts,Filters,Corrugated Cardboard,high,82,42,88,63.86
Automotive Parts,Filters,Recycled Steel,high,0,17,95,40.93
Automotive Parts,Filters,Steel / Tinplate,high,5,45,93,7.48
Automotive Parts,Filters,ABS Plastic,high,0,96,13,61.8
Automotive Parts,Filters,VCI Paper (Anti-Corrosion),medium,84,58,77,11.63
Automotive Parts,Headlights,Stainless Steel (304),high,2,93,100,35.2
Automotive Parts,Headlights,Nylon (PA),high,0,84,31,66.68
Automotive Parts,Headlights,Reinforced Plywood Box,high,92,36,21,44.75
Automotive Parts,Headlights,Plywood,high,68,52,2,1.39
Automotive Parts,Headlights,Paperboard,medium,81,42,83,60.56
Automotive Parts,Headlights,Hardwood,high,100,25,0,0.92
Automotive Parts,Headlights,Corrugated Cardboard,high,83,40,91,42.28
Automotive Parts,Headlights,Recycled Steel,high,0,21,93,66.65
Automotive Parts,Headlights,Steel / Tinplate,high,3,42,90,8.58
Automotive Parts,Headlights,ABS Plastic,high,0,93,12,64.02
Automotive Parts,Headlights,VCI Paper (Anti-Corrosion),medium,83,52,78,50.97
Automotive Parts,Wipers,Stainless Steel (304),high,0,93,100,74.98
Automotive Parts,Wipers,Nylon (PA),high,1,82,28,41.89
Automotive Parts,Wipers,Reinforced Plywood Box,high,87,38,23,13.15
Automotive Parts,Wipers,Plywood,high,70,47,0,62.78
Automotive Parts,Wipers,Paperboard,medium,83,43,88,34.94
Automotive Parts,Wipers,Hardwood,high,100,22,0,12.07
Automotive Parts,Wipers,Corrugated Cardboard,high,87,41,93,72.94
Automotive Parts,Wipers,Recycled Steel,high,2,21,93,73.13
Automotive Parts,Wipers,Steel / Tinplate,high,5,46,95,19.9
Automotive Parts,Wipers,ABS Plastic,high,0,95,15,60.52
Automotive Parts,Wipers,VCI Paper (Anti-Corrosion),medium,87,55,79,21.62
Automotive Parts,Belts,Stainless Steel (304),high,0,91,99,23.52
Automotive Parts,Belts,Nylon (PA),high,0,83,33,26.69
Automotive Parts,Belts,Reinforced Plywood Box,high,93,36,17,44.96
Automotive Parts,Belts,Plywood,high,70,51,0,65.62
Automotive Parts,Belts,Paperboard,medium,77,43,85,64.65
Automotive Parts,Belts,Hardwood,high,97,23,3,61.96
Automotive Parts,Belts,Corrugated Cardboard,high,87,40,87,8.08
Automotive Parts,Belts,Recycled Steel,high,1,23,92,19.17
Automotive Parts,Belts,Steel / Tinplate,high,8,46,91,11.19
Automotive Parts,Belts,ABS Plastic,high,0,95,17,8.38
Automotive Parts,Belts,VCI Paper (Anti-Corrosion),medium,83,54,81,32.55
Automotive Parts,Fuses,Stainless Steel (304),high,3,87,100,71.85
Automotive Parts,Fuses,Nylon (PA),high,1,86,29,13.56
Automotive Parts,Fuses,Reinforced Plywood Box,high,92,37,23,1.06
Automotive Parts,Fuses,Plywood,high,70,47,0,9.9
Automotive Parts,Fuses,Paperboard,medium,80,45,87,70.19
Automotive Parts,Fuses,Hardwood,high,99,22,2,36.22
Automotive Parts,Fuses,Corrugated Cardboard,high,83,38,89,57.79
Automotive Parts,Fuses,Recycled Steel,high,2,22,93,60.85
Automotive Parts,Fuses,Steel / Tinplate,high,3,43,92,72.17
Automotive Parts,Fuses,ABS Plastic,high,0,95,18,38.41
Automotive Parts,Fuses,VCI Paper (Anti-Corrosion),medium,83,57,81,11.82
Automotive Parts,Gaskets,Stainless Steel (304),high,3,92,97,50.32
Automotive Parts,Gaskets,Nylon (PA),high,0,85,30,68.61
Automotive Parts,Gaskets,Reinforced Plywood Box,high,87,33,18,55.92
Automotive Parts,Gaskets,Plywood,high,72,47,2,14.6
Automotive Parts,Gaskets,Paperboard,medium,78,48,85,38.11
Automotive Parts,Gaskets,Hardwood,high,100,27,0,17.08
Automotive Parts,Gaskets,Corrugated Cardboard,high,88,37,89,58.62
Automotive Parts,Gaskets,Recycled Steel,high,0,22,98,38.16
Automotive Parts,Gaskets,Steel / Tinplate,high,7,42,91,47.58
Automotive Parts,Gaskets,ABS Plastic,high,0,96,12,71.84
Automotive Parts,Gaskets,VCI Paper (Anti-Corrosion),medium,83,53,77,15.13
Automotive Parts,Radiators,Stainless Steel (304),high,3,91,95,13.56
Automotive Parts,Radiators,Nylon (PA),high,0,85,31,37.78
Automotive Parts,Radiators,Reinforced Plywood Box,high,91,38,21,25.29
Automotive Parts,Radiators,Plywood,high,68,49,0,35.92
Automotive Parts,Radiators,Paperboard,medium,82,47,83,19.99
Automotive Parts,Radiators,Hardwood,high,97,22,0,5.73
Automotive Parts,Radiators,Corrugated Cardboard,high,85,39,92,70.75
Automotive Parts,Radiators,Recycled Steel,high,0,22,97,8.06
Automotive Parts,Radiators,Steel / Tinplate,high,2,44,90,49.49
Automotive Parts,Radiators,ABS Plastic,high,0,93,16,69.76
Automotive Parts,Radiators,VCI Paper (Anti-Corrosion),medium,88,57,78,36.31
Automotive Parts,Alternators,Stainless Steel (304),high,3,88,96,60.14
Automotive Parts,Alternators,Nylon (PA),high,0,87,27,17.31
Automotive Parts,Alternators,Reinforced Plywood Box,high,89,35,23,57.24
Automotive Parts,Alternators,Plywood,high,70,53,2,17.4
Automotive Parts,Alternators,Paperboard,medium,77,47,84,28.35
Automotive Parts,Alternators,Hardwood,high,100,26,0,73.34
Automotive Parts,Alternators,Corrugated Cardboard,high,84,40,89,48.67
Automotive Parts,Alternators,Recycled Steel,high,2,19,95,28.51
Automotive Parts,Alternators,Steel / Tinplate,high,4,45,94,30.95
Automotive Parts,Alternators,ABS Plastic,high,0,93,16,63.8
Automotive Parts,Alternators,VCI Paper (Anti-Corrosion),medium,85,55,79,3.06
Garden & Floral,Seeds,Mushroom (Mycelium),medium,97,5,0,21.21
Garden & Floral,Seeds,Bamboo Fiber (Molded),high,96,12,0,7.1
Garden & Floral,Seeds,PLA,low,90,33,59,4.1
Garden & Floral,Seeds,Pine Needle Fiber,low,97,9,1,23.86
Garden & Floral,Seeds,Palm Leaf (Pressed),medium,100,6,0,56.81
Garden & Floral,Seeds,Hempcrete Molded,medium,100,0,0,65.05
Garden & Floral,Seeds,Seaweed Packaging,low,100,5,3,42.52
Garden & Floral,Seeds,Coconut Coir,medium,97,14,2,17.23
Garden & Floral,Seeds,Peat-based Molded Fiber,medium,99,25,0,18.3
Garden & Floral,Seeds,Starch-based,low,94,30,39,35.16
Garden & Floral,Seeds,Kraft Paper,low,95,27,89,50.83
Garden & Floral,Fertilizers,Mushroom (Mycelium),medium,100,7,0,38.22
Garden & Floral,Fertilizers,Bamboo Fiber (Molded),high,100,7,2,71.53
Garden & Floral,Fertilizers,PLA,low,93,33,63,31.7
Garden & Floral,Fertilizers,Pine Needle Fiber,low,100,10,2,27.23
Garden & Floral,Fertilizers,Palm Leaf (Pressed),medium,100,11,3,8.52
Garden & Floral,Fertilizers,Hempcrete Molded,medium,98,0,2,48.23
Garden & Floral,Fertilizers,Seaweed Packaging,low,97,7,0,32.76
Garden & Floral,Fertilizers,Coconut Coir,medium,100,14,0,26.58
Garden & Floral,Fertilizers,Peat-based Molded Fiber,medium,97,21,0,38.2
Garden & Floral,Fertilizers,Starch-based,low,92,27,42,24.5
Garden & Floral,Fertilizers,Kraft Paper,low,92,28,91,32.27
Garden & Floral,Pots,Mushroom (Mycelium),medium,97,7,1,71.02
Garden & Floral,Pots,Bamboo Fiber (Molded),high,100,7,2,52.07
Garden & Floral,Pots,PLA,low,92,37,60,43.52
Garden & Floral,Pots,Pine Needle Fiber,low,97,6,0,52.96
Garden & Floral,Pots,Palm Leaf (Pressed),medium,100,11,0,3.01
Garden & Floral,Pots,Hempcrete Molded,medium,99,0,0,27.72
Garden & Floral,Pots,Seaweed Packaging,low,99,2,1,26.02
Garden & Floral,Pots,Coconut Coir,medium,100,13,3,18.17
Garden & Floral,Pots,Peat-based Molded Fiber,medium,100,23,0,1.26
Garden & Floral,Pots,Starch-based,low,92,33,38,14.44
Garden & Floral,Pots,Kraft Paper,low,98,24,91,2.83
Garden & Floral,Soil,Mushroom (Mycelium),medium,100,5,0,26.79
Garden & Floral,Soil,Bamboo Fiber (Molded),high,98,7,2,55.53
Garden & Floral,Soil,PLA,low,88,38,59,59.47
Garden & Floral,Soil,Pine Needle Fiber,low,100,9,3,3.1
Garden & Floral,Soil,Palm Leaf (Pressed),medium,100,8,0,0.32
Garden & Floral,Soil,Hempcrete Molded,medium,99,0,0,19.53
Garden & Floral,Soil,Seaweed Packaging,low,100,2,1,33.49
Garden & Floral,Soil,Coconut Coir,medium,100,14,0,74.76
Garden & Floral,Soil,Peat-based Molded Fiber,medium,100,25,0,20.03
Garden & Floral,Soil,Starch-based,low,96,27,39,48.49
Garden & Floral,Soil,Kraft Paper,low,97,23,92,5.97
Garden & Floral,Watering Cans,Mushroom (Mycelium),medium,99,5,0,59.67
Garden & Floral,Watering Cans,Bamboo Fiber (Molded),high,95,7,0,65.88
Garden & Floral,Watering Cans,PLA,low,91,32,59,35.13
Garden & Floral,Watering Cans,Pine Needle Fiber,low,97,10,2,9.07
Garden & Floral,Watering Cans,Palm Leaf (Pressed),medium,97,6,2,41.74
Garden & Floral,Watering Cans,Hempcrete Molded,medium,98,0,0,70.75
Garden & Floral,Watering Cans,Seaweed Packaging,low,98,8,0,32.8
Garden & Floral,Watering Cans,Coconut Coir,medium,100,15,3,25.4
Garden & Floral,Watering Cans,Peat-based Molded Fiber,medium,98,20,0,69.34
Garden & Floral,Watering Cans,Starch-based,low,98,27,40,1.56
Garden & Floral,Watering Cans,Kraft Paper,low,97,28,91,37.83
Garden & Floral,Mulch,Mushroom (Mycelium),medium,97,5,3,47.84
Garden & Floral,Mulch,Bamboo Fiber (Molded),high,95,8,0,0.77
Garden & Floral,Mulch,PLA,low,90,38,61,36.37
Garden & Floral,Mulch,Pine Needle Fiber,low,100,7,1,49.08
Garden & Floral,Mulch,Palm Leaf (Pressed),medium,99,10,3,2.94
Garden & Floral,Mulch,Hempcrete Molded,medium,99,0,0,69.25
Garden & Floral,Mulch,Seaweed Packaging,low,100,2,0,3.33
Garden & Floral,Mulch,Coconut Coir,medium,98,15,1,62.68
Garden & Floral,Mulch,Peat-based Molded Fiber,medium,98,25,2,20.73
Garden & Floral,Mulch,Starch-based,low,97,30,41,74.87
Garden & Floral,Mulch,Kraft Paper,low,98,23,92,19.7
Garden & Floral,Bulbs,Mushroom (Mycelium),medium,100,8,0,49.84
Garden & Floral,Bulbs,Bamboo Fiber (Molded),high,96,11,3,54.33
Garden & Floral,Bulbs,PLA,low,91,38,59,30.66
Garden & Floral,Bulbs,Pine Needle Fiber,low,100,9,0,59.1
Garden & Floral,Bulbs,Palm Leaf (Pressed),medium,100,8,3,5.03
Garden & Floral,Bulbs,Hempcrete Molded,medium,98,0,0,8.58
Garden & Floral,Bulbs,Seaweed Packaging,low,100,6,0,58.84
Garden & Floral,Bulbs,Coconut Coir,medium,99,10,0,36.2
Garden & Floral,Bulbs,Peat-based Molded Fiber,medium,100,19,0,24.41
Garden & Floral,Bulbs,Starch-based,low,94,28,43,68.38
Garden & Floral,Bulbs,Kraft Paper,low,97,27,93,57.32
Garden & Floral,Plant Food,Mushroom (Mycelium),medium,100,3,0,65.03
Garden & Floral,Plant Food,Bamboo Fiber (Molded),high,95,13,3,55.25
Garden & Floral,Plant Food,PLA,low,88,34,59,10.03
Garden & Floral,Plant Food,Pine Needle Fiber,low,100,8,0,70.03
Garden & Floral,Plant Food,Palm Leaf (Pressed),medium,99,11,2,37.97
Garden & Floral,Plant Food,Hempcrete Molded,medium,100,0,0,49.21
Garden & Floral,Plant Food,Seaweed Packaging,low,100,8,1,66.78
Garden & Floral,Plant Food,Coconut Coir,medium,100,14,0,38.92
Garden & Floral,Plant Food,Peat-based Molded Fiber,medium,100,24,0,21.65
Garden & Floral,Plant Food,Starch-based,low,95,28,42,30.88
Garden & Floral,Plant Food,Kraft Paper,low,95,26,93,32.94
Garden & Floral,Peat Moss,Mushroom (Mycelium),medium,99,6,0,34.42
Garden & Floral,Peat Moss,Bamboo Fiber (Molded),high,98,8,1,36.28
Garden & Floral,Peat Moss,PLA,low,90,34,59,60.6
Garden & Floral,Peat Moss,Pine Needle Fiber,low,98,7,0,72.15
Garden & Floral,Peat Moss,Palm Leaf (Pressed),medium,100,6,0,29.89
Garden & Floral,Peat Moss,Hempcrete Molded,medium,100,0,0,30.78
Garden & Floral,Peat Moss,Seaweed Packaging,low,100,4,1,36.46
Garden & Floral,Peat Moss,Coconut Coir,medium,97,15,0,44.48
Garden & Floral,Peat Moss,Peat-based Molded Fiber,medium,97,19,0,19.18
Garden & Floral,Peat Moss,Starch-based,low,94,29,37,56.83
Garden & Floral,Peat Moss,Kraft Paper,low,92,26,93,66.51
Garden & Floral,Pesticides,Mushroom (Mycelium),medium,100,2,1,57.49
Garden & Floral,Pesticides,Bamboo Fiber (Molded),high,100,8,0,27.74
Garden & Floral,Pesticides,PLA,low,88,38,58,6.3
Garden & Floral,Pesticides,Pine Needle Fiber,low,97,5,0,13.85
Garden & Floral,Pesticides,Palm Leaf (Pressed),medium,100,11,3,57.05
Garden & Floral,Pesticides,Hempcrete Molded,medium,100,0,3,34.28
Garden & Floral,Pesticides,Seaweed Packaging,low,97,8,1,38.23
Garden & Floral,Pesticides,Coconut Coir,medium,100,9,0,7.85
Garden & Floral,Pesticides,Peat-based Molded Fiber,medium,100,19,0,70.33
Garden & Floral,Pesticides,Starch-based,low,94,33,37,73.01
Garden & Floral,Pesticides,Kraft Paper,low,96,24,90,22.74
Pet Supplies,Pet Food,PP,medium,12,80,51,64.46
Pet Supplies,Pet Food,Solid Bleached Sulfate (SBS),medium,80,52,87,25.8
Pet Supplies,Pet Food,Recycled HDPE (rHDPE),high,4,42,93,57.37
Pet Supplies,Pet Food,Non-Woven Polypropylene,medium,0,82,29,25.46
Pet Supplies,Pet Food,Wheat Straw Board,medium,95,15,79,52.22
Pet Supplies,Pet Food,Corrugated Cardboard,high,87,38,87,32.61
Pet Supplies,Pet Food,HDPE,high,12,83,85,39.94
Pet Supplies,Pet Food,Jute Fiber,high,94,13,2,4.29
Pet Supplies,Pet Food,Kraft Paper,low,98,28,93,12.3
Pet Supplies,Pet Food,Hemp Textile,high,95,16,0,68.58
Pet Supplies,Toys,PP,medium,8,82,52,47.17
Pet Supplies,Toys,Solid Bleached Sulfate (SBS),medium,79,57,82,3.88
Pet Supplies,Toys,Recycled HDPE (rHDPE),high,8,43,93,33.39
Pet Supplies,Toys,Non-Woven Polypropylene,medium,0,84,32,61.29
Pet Supplies,Toys,Wheat Straw Board,medium,97,19,82,60.46
Pet Supplies,Toys,Corrugated Cardboard,high,87,41,93,3.74
Pet Supplies,Toys,HDPE,high,10,82,88,67.18
Pet Supplies,Toys,Jute Fiber,high,93,12,0,11.14
Pet Supplies,Toys,Kraft Paper,low,93,23,88,49.52
Pet Supplies,Toys,Hemp Textile,high,96,15,1,56.9
Pet Supplies,Litter,PP,medium,13,77,52,3.88
Pet Supplies,Litter,Solid Bleached Sulfate (SBS),medium,81,54,85,46.73
Pet Supplies,Litter,Recycled HDPE (rHDPE),high,8,42,94,64.26
Pet Supplies,Litter,Non-Woven Polypropylene,medium,0,88,27,25.64
Pet Supplies,Litter,Wheat Straw Board,medium,97,15,77,37.01
Pet Supplies,Litter,Corrugated Cardboard,high,83,38,89,11.97
Pet Supplies,Litter,HDPE,high,10,79,86,72.47
Pet Supplies,Litter,Jute Fiber,high,92,9,0,22.04
Pet Supplies,Litter,Kraft Paper,low,96,22,87,3.14
Pet Supplies,Litter,Hemp Textile,high,95,13,0,53.57
Pet Supplies,Leashes,PP,medium,8,80,47,2.44
Pet Supplies,Leashes,Solid Bleached Sulfate (SBS),medium,82,53,88,57.82
Pet Supplies,Leashes,Recycled HDPE (rHDPE),high,4,48,92,5.07
Pet Supplies,Leashes,Non-Woven Polypropylene,medium,1,87,32,9.08
Pet Supplies,Leashes,Wheat Straw Board,medium,92,20,80,39.95
Pet Supplies,Leashes,Corrugated Cardboard,high,82,40,91,15.67
Pet Supplies,Leashes,HDPE,high,9,79,87,16.17
